"";"log2FoldChange";"pvalue";"padj";"reject";"Family";"Genus";"Species"
"ASV30";8,33922108486799;0,0389498226820212;0,0389498226820212;TRUE;"Rikenellaceae";"Alistipes";"Alistipes_putredinis"
"ASV46";4,97161645752974;0,0110423200039497;0,0110423200039497;TRUE;"Lachnospiraceae";"Dorea";"Dorea_longicatena"
"ASV92";9,04642531341246;0,0154968092424311;0,0154968092424311;TRUE;"Bifidobacteriaceae";"Bifidobacterium";"Bifidobacterium_longum"
"ASV94";6,05685407736659;0,0148229376031931;0,0148229376031931;TRUE;"Coriobacteriaceae";"Collinsella";"Collinsella_aerofaciens"
"ASV140";7,20974423848163;0,0182191259092336;0,0182191259092336;TRUE;"Lachnospiraceae";"Blautia";"Blautia_faecis"
"ASV473";7,37261878916662;0,046095770069246;0,046095770069246;TRUE;"Bifidobacteriaceae";"Bifidobacterium";"Bifidobacterium_adolescentis"
"ASV1785";6,74345452862181;0,0222385149115876;0,0222385149115876;TRUE;"Butyricicoccaceae";"Butyricicoccus";"Butyricicoccus_faecihominis"
