"";"log2FoldChange";"pvalue";"padj";"reject";"Family";"Genus";"Species"
"ASV46";1,96772141223935;0,0309933221987129;0,0309933221987129;TRUE;"Lachnospiraceae";"Dorea";"Dorea_longicatena"
"ASV49";4,27477363259179;0,0425268011138685;0,0425268011138685;TRUE;"Veillonellaceae";"Dialister";"Dialister_invisus"
"ASV140";3,87870750145077;0,00711616164272439;0,00711616164272439;TRUE;"Lachnospiraceae";"Blautia";"Blautia_faecis"
"ASV410";2,84633215690641;0,0319211053873461;0,0319211053873461;TRUE;"Marinifilaceae";"Odoribacter";"Odoribacter_splanchnicus"
"ASV1138";2,90056779273636;0,0343874704536879;0,0343874704536879;TRUE;"Lachnospiraceae";"Lachnoclostridium";"Lachnoclostridium_edouardi"
"ASV1304";3,39212437479648;0,00940231637757461;0,00940231637757461;TRUE;"Marinifilaceae";"Butyricimonas";"Butyricimonas_faecihominis"
